Date,Open,High,Low,Close,Volume,closeTime,QuoteVolume,Trades,TakerBuyBase,TakerBuyQuote,openTimeStamp,closeTimeStamp
2025-10-28 20:54:00+00:00,112775.55,112895.55,112767.03,112895.55,9.90397,2025-10-28 20:54:59.999000+00:00,1117323.3758567,2832,7.08198,798886.8010986,1761684840000,1761684899999
2025-10-28 20:55:00+00:00,112895.55,112921.14,112864.15,112873.19,7.03903,2025-10-28 20:55:59.999000+00:00,794666.5280349,3884,4.7564,536974.0335176,1761684900000,1761684959999
2025-10-28 20:56:00+00:00,112873.19,112873.19,112817.0,112821.43,11.47111,2025-10-28 20:56:59.999000+00:00,1294311.8165325,3566,4.1058,463242.8541713,1761684960000,1761685019999
2025-10-28 20:57:00+00:00,112821.43,112863.09,112806.14,112807.3,8.62149,2025-10-28 20:57:59.999000+00:00,972646.7559479,2368,2.50612,282731.0995773,1761685020000,1761685079999
2025-10-28 20:58:00+00:00,112807.29,112876.74,112807.29,112860.99,4.73178,2025-10-28 20:58:59.999000+00:00,533977.6126125,2304,3.29911,372276.8190368,1761685080000,1761685139999
2025-10-28 20:59:00+00:00,112860.98,112862.68,112808.05,112808.05,5.94054,2025-10-28 20:59:59.999000+00:00,670316.5155532,3069,3.46936,391461.4774755,1761685140000,1761685199999
2025-10-28 21:00:00+00:00,112808.05,112808.05,112668.5,112730.18,20.95083,2025-10-28 21:00:59.999000+00:00,2361628.1548849,4333,6.11867,689539.3383155,1761685200000,1761685259999
2025-10-28 21:01:00+00:00,112730.18,112761.4,112647.02,112673.31,6.43219,2025-10-28 21:01:59.999000+00:00,724891.1410093,3630,3.19935,360570.7477826,1761685260000,1761685319999
2025-10-28 21:02:00+00:00,112673.32,112673.32,112593.8,112593.8,12.87612,2025-10-28 21:02:59.999000+00:00,1450165.6948233,3987,2.06963,233080.6822784,1761685320000,1761685379999
2025-10-28 21:03:00+00:00,112593.8,112638.38,112571.44,112624.97,5.03825,2025-10-28 21:03:59.999000+00:00,567333.3749868,2994,3.89957,439100.8438618,1761685380000,1761685439999
2025-10-28 21:04:00+00:00,112624.96,112730.46,112601.22,112730.46,7.75626,2025-10-28 21:04:59.999000+00:00,873802.5534947,3690,5.62527,633686.4553305,1761685440000,1761685499999
2025-10-28 21:05:00+00:00,112730.46,112793.91,112686.93,112776.69,18.30256,2025-10-28 21:05:59.999000+00:00,2063621.4715479,4683,7.9187,892762.5817354,1761685500000,1761685559999
2025-10-28 21:06:00+00:00,112776.7,112793.1,112747.53,112747.53,3.15569,2025-10-28 21:06:59.999000+00:00,355882.4108801,2357,1.72142,194142.9209747,1761685560000,1761685619999
2025-10-28 21:07:00+00:00,112747.54,112747.54,112211.0,112259.22,125.02723,2025-10-28 21:07:59.999000+00:00,14053534.6251464,13121,35.35893,3972863.2862177,1761685620000,1761685679999
2025-10-28 21:08:00+00:00,112259.23,112476.99,112247.99,112463.26,32.56955,2025-10-28 21:08:59.999000+00:00,3660826.4240289,6512,16.98857,1909425.7901607,1761685680000,1761685739999
2025-10-28 21:09:00+00:00,112463.25,112500.0,112371.87,112437.04,12.97495,2025-10-28 21:09:59.999000+00:00,1459123.1524077,6062,7.37596,829425.2586945,1761685740000,1761685799999
2025-10-28 21:10:00+00:00,112437.03,112456.4,112337.14,112456.4,26.53925,2025-10-28 21:10:59.999000+00:00,2982381.7678781,6568,16.92315,1901689.6174263,1761685800000,1761685859999
2025-10-28 21:11:00+00:00,112456.4,112573.65,112404.54,112573.63,22.00228,2025-10-28 21:11:59.999000+00:00,2474873.0968791,3801,14.90612,1676940.7874561,1761685860000,1761685919999
2025-10-28 21:12:00+00:00,112573.63,112589.18,112523.62,112546.04,20.37659,2025-10-28 21:12:59.999000+00:00,2293458.9283588,4850,11.02174,1240554.2202966,1761685920000,1761685979999
2025-10-28 21:13:00+00:00,112546.04,112585.13,112518.6,112572.25,9.04786,2025-10-28 21:13:59.999000+00:00,1018471.3324969,3407,3.65876,411825.1281654,1761685980000,1761686039999
2025-10-28 21:14:00+00:00,112572.25,112692.3,112572.25,112692.28,9.41745,2025-10-28 21:14:59.999000+00:00,1060873.7532564,3891,6.6132,745019.5206872,1761686040000,1761686099999
